age,income,monthly_spend,tenure_months,label
22,90797.86,1481.66,109,0
58,66647.36,1257.29,70,1
52,75453.99,1364.97,21,0
40,63977.9,1588.8,93,1
40,61932.66,795.26,18,0
62,50969.32,1639.03,45,1
22,72745.42,513.5,40,0
54,49672.33,1364.18,2,0
28,76980.53,1289.37,97,1
22,84535.17,891.85,61,0
45,71597.57,1188.66,38,0
68,59847.52,888.73,61,1
56,73171.38,664.15,1,1
57,59443.89,1023.19,53,1
55,81839.85,648.01,62,1
58,32034.69,1361.4,41,0
44,58959.07,624.96,99,0
24,29165.38,1555.99,30,0
61,38088.91,609.26,17,0
41,89549.52,916.85,63,1
44,81113.33,887.7,106,1
37,52049.36,1862.57,45,0
27,37954.94,1365.14,6,0
66,15000.0,1094.13,116,1
58,55217.08,1449.36,53,0
51,108567.47,146.4,21,0
38,72827.92,1178.43,74,1
60,54927.7,2198.76,39,1
46,73371.44,1266.17,112,1
41,36902.75,1233.96,35,0
41,59648.18,1474.06,66,0
29,66790.59,1647.8,65,0
22,63450.19,201.27,29,0
46,79234.51,358.84,60,1
64,71203.61,1305.15,13,1
21,77029.87,842.56,77,0
62,52609.3,1856.01,91,0
61,81160.68,1042.41,114,1
32,94320.87,232.73,39,0
50,47537.31,565.99,34,0
26,49021.48,100.0,66,0
57,89044.12,1082.94,83,1
54,61555.81,1105.81,119,1
36,90268.79,987.77,3,0
21,57034.36,1739.44,29,0
68,91190.82,1799.26,32,1
41,67366.74,1114.81,31,0
64,69648.12,132.65,56,0
53,93164.92,1508.64,104,1
58,58488.13,1477.68,4,0
57,48059.8,1354.7,98,0
28,56925.84,1690.74,74,0
36,73142.01,617.59,74,0
42,36816.34,2204.38,81,0
43,76474.48,720.29,14,1
20,55302.12,1574.61,89,0
46,85660.63,356.33,30,0
26,21903.31,734.87,62,0
56,50841.82,1958.18,81,1
53,34643.57,1069.55,72,0
65,50127.87,1619.96,39,0
56,69457.99,1318.48,48,0
37,61773.92,1147.52,57,0
68,60439.2,1881.93,5,0
39,62134.67,1081.67,87,1
34,68660.99,309.63,12,0
65,46846.35,798.38,55,0
37,77723.29,1475.6,78,0
21,76927.99,1397.75,10,0
42,71930.68,416.47,119,0
59,75017.6,837.83,45,0
27,70335.52,909.14,2,0
42,101631.32,1017.27,79,1
